rule,class_code,class_name,final_population,max_population,min_population,final_extent,mean_variance,mean_density
0,1A,Class 1A: Immediate Extinction,0,0,0,0,0,0
1,2B,Class 2B: Sparse-Full Blink (N↔Full),1,132625,1,0,1.478042177,0.694986653
2,0,Class 0: Unclassified,512,26000,8,41.56921938,1.81707874,0.016219659
3,1A,Class 1A: Immediate Extinction,0,132651,0,0,0,0
4,1A,Class 1A: Immediate Extinction,0,0,0,0,0,0
5,2B,Class 2B: Sparse-Full Blink (N↔Full),1,132625,1,0,1.478042177,0.694986653
6,3,Class 3: Chaotic Turbulent,32232,36936,26,41.02438299,3.75000365,0.082886253
7,1A,Class 1A: Immediate Extinction,0,132651,0,0,0,0
8,1A,Class 1A: Immediate Extinction,0,0,0,0,0,0
9,2B,Class 2B: Sparse-Full Blink (N↔Full),1,132625,1,0,1.478042177,0.694986653
10,0,Class 0: Unclassified,1944,41952,20,37.20215048,1.621647967,0.052486406
11,1A,Class 1A: Immediate Extinction,0,132651,0,0,0,0
12,1A,Class 1A: Immediate Extinction,0,0,0,0,0,0
13,2B,Class 2B: Sparse-Full Blink (N↔Full),1,132625,1,0,1.478042177,0.694986653
14,3,Class 3: Chaotic Turbulent,46240,48072,26,43.30127019,3.681813368,0.095132695
15,1A,Class 1A: Immediate Extinction,0,132651,0,0,0,0
16,1A,Class 1A: Immediate Extinction,0,0,0,0,0,0
17,2B,Class 2B: Sparse-Full Blink (N↔Full),1,132625,1,0,1.478042177,0.694986653
18,3,Class 3: Chaotic Turbulent,26610,31002,26,41.12177039,3.075710737,0.086637486
19,1A,Class 1A: Immediate Extinction,0,132651,0,0,0,0
20,1A,Class 1A: Immediate Extinction,0,0,0,0,0,0
21,2B,Class 2B: Sparse-Full Blink (N↔Full),1,132625,1,0,1.478042177,0.694986653
22,3,Class 3: Chaotic Turbulent,20508,42696,26,39.67366885,3.778516439,0.099974191
23,1A,Class 1A: Immediate Extinction,0,132651,0,0,0,0
24,1A,Class 1A: Immediate Extinction,0,0,0,0,0,0
25,2B,Class 2B: Sparse-Full Blink (N↔Full),1,132625,1,0,1.478042177,0.694986653
26,3,Class 3: Chaotic Turbulent,33654,36930,26,42.73172124,3.361861403,0.095744786
27,1A,Class 1A: Immediate Extinction,0,132651,0,0,0,0
28,1A,Class 1A: Immediate Extinction,0,0,0,0,0,0
29,2B,Class 2B: Sparse-Full Blink (N↔Full),1,132625,1,0,1.478042177,0.694986653
30,3,Class 3: Chaotic Turbulent,19298,53618,26,41.64132563,3.974726001,0.108241196
31,1A,Class 1A: Immediate Extinction,0,132651,0,0,0,0
32,1A,Class 1A: Immediate Extinction,0,0,0,0,0,0
33,2B,Class 2B: Sparse-Full Blink (N↔Full),1,132625,1,0,1.478042177,0.694986653
34,0,Class 0: Unclassified,512,26000,8,41.56921938,1.81707874,0.016219659
35,1A,Class 1A: Immediate Extinction,0,132651,0,0,0,0
36,1A,Class 1A: Immediate Extinction,0,0,0,0,0,0
37,2B,Class 2B: Sparse-Full Blink (N↔Full),1,132625,1,0,1.478042177,0.694986653
38,3,Class 3: Chaotic Turbulent,22620,41004,26,42.73172124,4.014545333,0.101169121
39,1A,Class 1A: Immediate Extinction,0,132651,0,0,0,0
40,1A,Class 1A: Immediate Extinction,0,0,0,0,0,0
41,2B,Class 2B: Sparse-Full Blink (N↔Full),1,132625,1,0,1.478042177,0.694986653
42,3,Class 3: Chaotic Turbulent,23512,45288,20,42.73172124,3.527559204,0.090344633
43,1A,Class 1A: Immediate Extinction,0,132651,0,0,0,0
44,1A,Class 1A: Immediate Extinction,0,0,0,0,0,0
45,2B,Class 2B: Sparse-Full Blink (N↔Full),1,132625,1,0,1.478042177,0.694986653
46,3,Class 3: Chaotic Turbulent,10396,57212,26,39.26830783,3.750280348,0.104514982
47,1A,Class 1A: Immediate Extinction,0,132651,0,0,0,0
48,1A,Class 1A: Immediate Extinction,0,0,0,0,0,0
49,2B,Class 2B: Sparse-Full Blink (N↔Full),1,132625,1,0,1.478042177,0.694986653
50,3,Class 3: Chaotic Turbulent,33222,39840,26,42.17819342,3.177853053,0.099189527
51,1A,Class 1A: Immediate Extinction,0,132651,0,0,0,0
52,1A,Class 1A: Immediate Extinction,0,0,0,0,0,0
53,2B,Class 2B: Sparse-Full Blink (N↔Full),1,132625,1,0,1.478042177,0.694986653
54,3,Class 3: Chaotic Turbulent,42006,42006,26,42.73172124,3.89329793,0.112586974
55,1A,Class 1A: Immediate Extinction,0,132651,0,0,0,0
56,1A,Class 1A: Immediate Extinction,0,0,0,0,0,0
57,2B,Class 2B: Sparse-Full Blink (N↔Full),1,132625,1,0,1.478042177,0.694986653
58,3,Class 3: Chaotic Turbulent,34166,48044,26,43.30127019,3.76373782,0.106486996
59,1A,Class 1A: Immediate Extinction,0,132651,0,0,0,0
60,1A,Class 1A: Immediate Extinction,0,0,0,0,0,0
61,2B,Class 2B: Sparse-Full Blink (N↔Full),1,132625,1,0,1.478042177,0.694986653
62,3,Class 3: Chaotic Turbulent,49076,58098,26,42.73172124,4.274952829,0.117260114
63,1A,Class 1A: Immediate Extinction,0,132651,0,0,0,0
64,1A,Class 1A: Immediate Extinction,0,0,0,0,0,0
65,2B,Class 2B: Sparse-Full Blink (N↔Full),1,132625,1,0,1.478042177,0.694986653
66,3,Class 3: Chaotic Turbulent,22064,26896,26,43.30127019,2.473501604,0.078022246
67,1A,Class 1A: Immediate Extinction,0,132651,0,0,0,0
68,1A,Class 1A: Immediate Extinction,0,0,0,0,0,0
69,2B,Class 2B: Sparse-Full Blink (N↔Full),1,132625,1,0,1.478042177,0.694986653
70,3,Class 3: Chaotic Turbulent,21064,47808,26,42.73172124,3.77370787,0.101564168
71,1A,Class 1A: Immediate Extinction,0,132651,0,0,0,0
72,1A,Class 1A: Immediate Extinction,0,0,0,0,0,0
73,2B,Class 2B: Sparse-Full Blink (N↔Full),1,132625,1,0,1.478042177,0.694986653
74,3,Class 3: Chaotic Turbulent,32420,39924,26,41.59326869,3.437577065,0.097828307
75,1A,Class 1A: Immediate Extinction,0,132651,0,0,0,0
76,1A,Class 1A: Immediate Extinction,0,0,0,0,0,0
77,2B,Class 2B: Sparse-Full Blink (N↔Full),1,132625,1,0,1.478042177,0.694986653
78,3,Class 3: Chaotic Turbulent,22096,56596,26,42.73172124,4.145926555,0.113590142
79,1A,Class 1A: Immediate Extinction,0,132651,0,0,0,0
80,1A,Class 1A: Immediate Extinction,0,0,0,0,0,0
